dataset,classifier,mean_macro_f1_percent,ci95_half_width_percent,std_macro_f1_percent,repeat_scores,best_params_summary,successful_repeats
wine,fcalc,79.8822,2.4063,3.3637,"[83.0827, 74.6576, 78.4019, 84.345, 75.2252, 82.1105, 82.4891, 81.4828, 79.6156, 77.4118]","[{""cv_f1"": 0.7784288580754282, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.803827630683716, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.8015366277317822, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.7768561660069442, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.7989961094649017, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.7745280155937218, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.7898135891615299, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.7758128281544086, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.7833783946601597, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}, {""cv_f1"": 0.7971597126307558, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}]",10
wine,fcalc_rand,77.8245,1.6994,2.3756,"[82.1245, 76.2449, 74.978, 76.8714, 74.1773, 77.8105, 78.7201, 79.9992, 79.1921, 78.1271]","[{""cv_f1"": 0.7719388867326107, ""family"": ""proximity"", ""method"": ""proximity-support"", ""num_iters"": 20, ""subsample_size"": 2}, {""cv_f1"": 0.7715023864507066, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 20, ""subsample_size"": 2}, {""cv_f1"": 0.7894907646132381, ""family"": ""proximity"", ""method"": ""proximity"", ""num_iters"": 50, ""subsample_size"": 1}, {""cv_f1"": 0.7647431901768067, ""family"": ""proximity"", ""method"": ""proximity"", ""num_iters"": 40, ""subsample_size"": 2}, {""cv_f1"": 0.7925263352643963, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 50, ""subsample_size"": 1}, {""cv_f1"": 0.7505562615186138, ""family"": ""proximity"", ""method"": ""proximity"", ""num_iters"": 20, ""subsample_size"": 2}, {""cv_f1"": 0.7700714082509716, ""family"": ""proximity"", ""method"": ""proximity"", ""num_iters"": 50, ""subsample_size"": 2}, {""cv_f1"": 0.7710019917626796, ""family"": ""proximity"", ""method"": ""proximity"", ""num_iters"": 50, ""subsample_size"": 2}, {""cv_f1"": 0.7700381774528255, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 40, ""subsample_size"": 2}, {""cv_f1"": 0.7779308882123387, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 30, ""subsample_size"": 2}]",10
wine,ips_knn,79.5425,2.1798,3.0472,"[81.8039, 77.734, 80.855, 84.8287, 73.2175, 78.9398, 80.8008, 78.8891, 77.9796, 80.3766]","[{""k"": 80}, {""k"": 92}, {""k"": 16}, {""k"": 95}, {""k"": 18}, {""k"": 14}, {""k"": 94}, {""k"": 25}, {""k"": 57}, {""k"": 27}]",10
wine,knn,79.5014,2.4461,3.4194,"[82.4169, 75.8125, 81.1905, 85.1546, 72.9464, 79.7436, 80.8385, 80.1713, 77.8752, 78.8641]","[{""n_neighbors"": 62, ""weights"": ""distance""}, {""n_neighbors"": 48, ""weights"": ""distance""}, {""n_neighbors"": 41, ""weights"": ""distance""}, {""n_neighbors"": 93, ""weights"": ""distance""}, {""n_neighbors"": 17, ""weights"": ""distance""}, {""n_neighbors"": 13, ""weights"": ""distance""}, {""n_neighbors"": 99, ""weights"": ""distance""}, {""n_neighbors"": 42, ""weights"": ""distance""}, {""n_neighbors"": 23, ""weights"": ""distance""}, {""n_neighbors"": 33, ""weights"": ""distance""}]",10
wine,naive_bayes,72.7518,2.1701,3.0336,"[74.3259, 70.3099, 75.4089, 75.8125, 68.0451, 71.327, 74.35, 77.1229, 69.6575, 71.1587]","[{""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-07}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-07}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}]",10
wine,logistic_regression,73.7798,2.3524,3.2884,"[78.412, 71.8739, 75.5639, 76.7442, 67.4542, 73.0987, 76.8605, 74.5979, 71.3879, 71.8045]","[{""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""lbfgs""}, {""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l1"", ""solver"": ""liblinear""}, {""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""lbfgs""}, {""C"": 100, ""penalty"": ""l1"", ""solver"": ""liblinear""}]",10
wine,svm,75.6218,2.42,3.3829,"[77.4436, 73.749, 78.39, 81.1439, 70.9145, 73.3226, 78.7292, 75.9185, 71.0589, 75.5476]","[{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}]",10
wine,decision_tree,74.1268,2.2739,3.1787,"[77.3931, 70.2285, 74.3108, 78.0013, 72.4311, 71.5289, 79.3548, 74.0196, 73.4165, 70.5836]","[{""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5}, {""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": null, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}, {""max_depth"": null, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": null, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": null, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}]",10
wine,random_forest,81.4755,2.6208,3.6636,"[82.1483, 76.8524, 81.5219, 86.8127, 75.5783, 81.7889, 86.2064, 84.0362, 78.9719, 80.8385]","[{""bootstrap"": true, ""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 20, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}, {""bootstrap"": true, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}, {""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}]",10
wine,xgboost,81.1333,2.3859,3.3353,"[82.7841, 79.3621, 82.1483, 85.7863, 75.2252, 77.6288, 84.6333, 83.9936, 79.2379, 80.533]","[{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}]",10
