dataset,classifier,repeat,split_seed,n_train,n_test,n_features,n_classes,best_params,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,avg_rrc_size,max_rrc_size,rrc_rc_ratio,elapsed_seconds,status,error
parkinsons,naive_bayes,1,1998,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.001,ok,
parkinsons,xgboost,1,1998,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,200,max_depth,5,,,,,,0.0,ok,
parkinsons,ips_knn,1,1998,156,39,22,2,"{""k"": 4}",avg_rrc_size,3.4871794871794872,max_rrc_size,10.0,,,3.4871794871794872,10.0,0.1585081585081585,1.258,ok,
parkinsons,knn,1,1998,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,1,1998,156,39,22,2,"{""C"": 10, ""penalty"": ""l2"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,1,1998,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,66,size,1520,,,,,,0.002,ok,
parkinsons,decision_tree,1,1998,156,39,22,2,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",configured_max_depth,10,max_path_features,6.0,avg_path_features,4.435897435897436,,,,0.002,ok,
parkinsons,random_forest,1,1998,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
parkinsons,fcalc,1,1998,156,39,22,2,"{""cv_f1"": 0.6953526136285527, ""family"": ""proximity"", ""method"": ""proximity""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,1,1998,156,39,22,2,"{""cv_f1"": 0.7653526949241235, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 30, ""subsample_size"": 5}",size,1320,num_iters,30,,,,,,0.0,ok,
