dataset,classifier,primary_metric,mean_primary_value,secondary_metric,mean_secondary_value,tertiary_metric,mean_tertiary_value,primary_repeat_values,secondary_repeat_values,tertiary_repeat_values,successful_repeats
wine,fcalc,size,14069.0,,,,,"[14069.0, 14069.0, 14069.0, 14069.0, 14069.0, 14069.0, 14069.0, 14069.0, 14069.0, 14069.0]",[],[],10
wine,fcalc_rand,size,814.0,num_iters,37.0,,,"[440.0, 440.0, 1100.0, 880.0, 1100.0, 440.0, 1100.0, 1100.0, 880.0, 660.0]","[20.0, 20.0, 50.0, 40.0, 50.0, 20.0, 50.0, 50.0, 40.0, 30.0]",[],10
wine,ips_knn,avg_rrc_size,7.315,max_rrc_size,11.0,,,"[8.503125, 8.765625, 5.503125, 8.69375, 5.909375, 5.415625, 8.740625, 6.64375, 8.06875, 6.90625]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",[],10
wine,knn,size,518.1,,,,,"[682.0, 528.0, 451.0, 1023.0, 187.0, 143.0, 1089.0, 462.0, 253.0, 363.0]",[],[],10
wine,naive_bayes,size,46.0,,,,,"[46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0, 46.0]",[],[],10
wine,logistic_regression,size,12.0,,,,,"[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",[],[],10
wine,svm,size,9026.0,n_support_vectors,752.0,,,"[8762.0, 9146.0, 9470.0, 9542.0, 8450.0, 8738.0, 8930.0, 9422.0, 9110.0, 8690.0]","[730.0, 762.0, 789.0, 795.0, 704.0, 728.0, 744.0, 785.0, 759.0, 724.0]",[],10
wine,decision_tree,avg_path_features,6.365938,max_path_features,9.6,configured_max_depth,10.0,"[6.50625, 6.3125, 5.790625, 6.31875, 5.940625, 5.903125, 6.915625, 6.859375, 6.809375, 6.303125]","[11.0, 10.0, 8.0, 10.0, 8.0, 10.0, 10.0, 10.0, 10.0, 9.0]","[10.0, 10.0]",10
wine,random_forest,n_estimators,160.0,max_depth,17.9,,,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 300.0, 300.0, 300.0]","[10.0, 25.0, 20.0, 10.0, 20.0, 10.0, 20.0, 20.0, 20.0, 24.0]",[],10
wine,xgboost,n_estimators,190.0,max_depth,5.0,,,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 100.0, 200.0, 200.0, 200.0]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",[],10
breast_cancer,fcalc,size,13650.0,,,,,"[13650.0, 13650.0, 13650.0, 13650.0, 13650.0, 13650.0, 13650.0, 13650.0, 13650.0, 13650.0]",[],[],10
breast_cancer,fcalc_rand,size,2100.0,num_iters,35.0,,,"[1200.0, 2400.0, 1800.0, 3000.0, 3000.0, 3000.0, 1200.0, 2400.0, 1800.0, 1200.0]","[20.0, 40.0, 30.0, 50.0, 50.0, 50.0, 20.0, 40.0, 30.0, 20.0]",[],10
breast_cancer,ips_knn,avg_rrc_size,5.058772,max_rrc_size,11.4,,,"[4.95614, 5.096491, 5.289474, 5.017544, 4.991228, 4.885965, 4.789474, 4.885965, 5.508772, 5.166667]","[11.0, 12.0, 10.0, 10.0, 11.0, 10.0, 9.0, 10.0, 18.0, 13.0]",[],10
breast_cancer,knn,size,216.0,,,,,"[120.0, 150.0, 300.0, 330.0, 210.0, 270.0, 180.0, 150.0, 270.0, 180.0]",[],[],10
breast_cancer,naive_bayes,size,122.0,,,,,"[122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0]",[],[],10
breast_cancer,logistic_regression,size,31.0,,,,,"[31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0]",[],[],10
breast_cancer,svm,size,589.4,n_support_vectors,91.0,,,"[31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 31.0, 2544.0, 3102.0]","[82.0, 100.0]",[],10
breast_cancer,decision_tree,avg_path_features,4.413158,max_path_features,5.9,configured_max_depth,8.0,"[4.105263, 4.350877, 4.438596, 4.614035, 5.807018, 4.342105, 3.982456, 5.684211, 3.105263, 3.701754]","[5.0, 5.0, 5.0, 5.0, 8.0, 6.0, 5.0, 9.0, 5.0, 6.0]","[10.0, 5.0, 5.0, 5.0, 10.0, 10.0, 10.0, 10.0, 5.0, 10.0]",10
breast_cancer,random_forest,n_estimators,180.0,max_depth,9.0,,,"[100.0, 300.0, 100.0, 100.0, 300.0, 100.0, 100.0, 100.0, 300.0, 300.0]","[10.0, 5.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 5.0]",[],10
breast_cancer,xgboost,n_estimators,180.0,max_depth,3.8,,,"[100.0, 100.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","[5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",[],10
rice,fcalc,size,21336.0,,,,,"[21336.0, 21336.0, 21336.0, 21336.0, 21336.0, 21336.0, 21336.0, 21336.0, 21336.0, 21336.0]",[],[],10
rice,fcalc_rand,size,546.0,num_iters,39.0,,,"[560.0, 560.0, 560.0, 280.0, 700.0, 700.0, 560.0, 560.0, 700.0, 280.0]","[40.0, 40.0, 40.0, 20.0, 50.0, 50.0, 40.0, 40.0, 50.0, 20.0]",[],10
rice,ips_knn,avg_rrc_size,4.095932,max_rrc_size,7.0,,,"[3.893701, 3.885827, 4.330709, 4.293963, 4.295276, 3.744094, 3.91601, 4.086614, 4.104987, 4.408136]","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",[],10
rice,knn,size,358.4,,,,,"[175.0, 224.0, 392.0, 651.0, 672.0, 98.0, 238.0, 322.0, 245.0, 567.0]",[],[],10
rice,naive_bayes,size,30.0,,,,,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",[],[],10
