dataset,seed,n_classes,train_size,test_size,train_class_counts,test_class_counts,numeric_feature_count,categorical_feature_count,encoded_feature_count,total_classifiers_mean,total_classifiers_min,total_classifiers_max,singleton_tp1_rate,fp_zero_rate
breast_cancer,1998,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9958935801041064,0.996568343936765
breast_cancer,1999,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9960092539039908,0.9972238288027762
breast_cancer,2000,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9963948332369384,0.997667245035666
breast_cancer,2001,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9971274339695392,0.9966069018700596
breast_cancer,2002,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9959321380374012,0.994081357239252
breast_cancer,2003,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.996279159437054,0.9972045498361288
breast_cancer,2004,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9967418546365916,0.9961056487372276
breast_cancer,2005,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9959899749373432,0.9957971852708696
breast_cancer,2006,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9955851166377482,0.9957586273375748
breast_cancer,2007,2,455,114,"[285, 170]","[72, 42]",30,0,30,455.0,455,455,0.9962406015037594,0.9961634856371698
ionosphere,1998,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9856639839034204,0.998390342052314
ionosphere,1999,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9861167002012072,0.998138832997988
ionosphere,2000,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9838531187122737,0.9895875251509054
ionosphere,2001,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9862173038229376,0.9985915492957746
ionosphere,2002,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9859154929577464,0.9981891348088532
ionosphere,2003,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9803822937625756,0.9987927565392354
ionosphere,2004,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9848088531187122,0.9895372233400402
ionosphere,2005,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9843058350100604,0.9930583501006036
ionosphere,2006,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.981841046277666,0.9987424547283702
ionosphere,2007,2,280,71,"[101, 179]","[25, 46]",34,0,34,280.0,280,280,0.9886317907444668,0.9900905432595574
parkinsons,1998,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9794543063773832,0.9857001972386588
parkinsons,1999,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9792899408284024,0.9850427350427352
parkinsons,2000,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9838921761998684,0.9921104536489151
parkinsons,2001,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9783037475345168,0.9870151216305062
parkinsons,2002,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9814266929651544,0.9815910585141354
parkinsons,2003,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9682774490466798,0.9875082182774492
parkinsons,2004,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9718934911242604,0.977646285338593
parkinsons,2005,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9761669953977646,0.9909598948060486
parkinsons,2006,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9786324786324786,0.989973701512163
parkinsons,2007,2,156,39,"[38, 118]","[10, 29]",22,0,22,156.0,156,156,0.9815910585141354,0.9868507560815252
rice,1998,2,3048,762,"[1744, 1304]","[436, 326]",7,0,7,3048.0,3048,3048,0.1502258698961842,0.3978797679817581
rice,1999,2,3048,762,"[1744, 1304]","[436, 326]",7,0,7,3048.0,3048,3048,0.1491766039087633,0.4037262935636982
rice,2000,2,3048,762,"[1744, 1304]","[436, 326]",7,0,7,3048.0,3048,3048,0.1508592183851034,0.3973958225694229
rice,2001,2,3048,762,"[1744, 1304]","[436, 326]",7,0,7,3048.0,3048,3048,0.1502491199426843,0.4083242055373
rice,2002,2,3048,762,"[1744, 1304]","[436, 326]",7,0,7,3048.0,3048,3048,0.1504768842871019,0.4016630672150233
rice,2003,2,3048,762,"[1744, 1304]","[436, 326]",7,0,7,3048.0,3048,3048,0.1503813007626015,0.4023442074661927
rice,2004,2,3048,762,"[1744, 1304]","[436, 326]",7,0,7,3048.0,3048,3048,0.1507787043351864,0.4007541626194363
