metric,tied_wins,top_3,mean_rank,mean_best_macro_f1,median_best_k,role
interval_tightness,7,9,2.8181818181818183,0.8686049881866169,4.0,diagnostic
query_numeric_similarity,7,9,2.8181818181818183,0.8686049881866169,4.0,diagnostic
query_similarity,7,9,2.8181818181818183,0.8686049881866169,4.0,locality representative
simplicity_prior,7,8,3.090909090909091,0.8685673899253229,4.0,diagnostic
query_weighted_precision,7,8,3.1818181818181817,0.8686263311229461,4.0,primary reported metric
query_binary_similarity,5,5,5.090909090909091,0.8669745203124548,3.0,diagnostic
fp,4,4,5.181818181818182,0.8671641081180647,3.0,diagnostic
error_rate,4,4,5.363636363636363,0.8669640620125162,3.0,diagnostic
precision,4,4,5.454545454545454,0.8646899787984353,3.0,purity-only reference
supporter_opposer_ratio,4,4,5.454545454545454,0.8646899787984353,3.0,diagnostic
description_volume,1,1,11.636363636363637,0.8345800642880452,1.0,geometric-size reference
query_weighted_log_odds_ratio,2,2,12.363636363636363,0.6140284224494318,9.0,log-odds variant
delta_stability,2,2,13.0,0.7235993332040164,8.0,stability-family diagnostic
query_weighted_precision_sqrt_tp,1,1,13.363636363636363,0.5713709600968677,9.0,diagnostic
query_weighted_log_odds_ratio_log_tp,1,2,14.181818181818182,0.5983448428341694,9.0,diagnostic
query_weighted_precision_log_tp,2,2,14.181818181818182,0.5953887448333917,9.0,diagnostic
log_odds_ratio,0,0,14.545454545454545,0.6069781522388349,9.0,support-sensitive reference
log_odds_ratio_log_tp,0,0,16.272727272727273,0.5938984227859345,9.0,diagnostic
precision_sqrt_tp,0,0,18.0,0.5379571354419782,9.0,diagnostic
precision_log_tp,0,0,18.09090909090909,0.5583952138569303,9.0,diagnostic
tp,0,0,21.454545454545453,0.5065293392630533,7.0,diagnostic
query_weighted_wracc,0,0,22.363636363636363,0.35989190289250667,3.0,diagnostic
robustness,0,0,22.90909090909091,0.4978890072402956,9.0,diagnostic
stability,0,0,22.90909090909091,0.4978890072402956,9.0,diagnostic
g_test,0,0,23.818181818181817,0.3213474102235376,3.0,diagnostic
information_gain,0,0,23.818181818181817,0.3213474102235376,3.0,diagnostic
wracc,0,0,25.0,0.312344633381884,3.0,diagnostic
balanced_precision_proxy,0,0,25.454545454545453,0.301194152950209,3.0,diagnostic
youdens_j,0,0,25.454545454545453,0.301194152950209,3.0,diagnostic
gini_gain,0,0,25.545454545454547,0.30747405771792835,3.0,diagnostic
matthews_correlation,0,0,26.09090909090909,0.2985859187563633,1.0,diagnostic
chi_squared,0,0,27.727272727272727,0.28275172314223457,1.0,diagnostic
support,0,0,28.09090909090909,0.27519699611433246,5.0,diagnostic
lift,0,0,30.363636363636363,0.20543606947460205,1.0,diagnostic
fn,0,0,32.09090909090909,0.19896678535767753,1.0,diagnostic
tn,0,0,32.54545454545455,0.19252434087504844,1.0,diagnostic
