dataset,seed,repeat,method,metric,k,primary_f1,macro_f1,macro_f1_percent,cv_macro_f1,best_params,elapsed_seconds,status,error,source_classifier,source_dataset,n_train,n_test,n_features,n_classes,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,avg_rrc_size,max_rrc_size,rrc_rc_ratio
breast_cancer,1998,1,decision_tree,imported_baseline,,0.8968325791855204,0.8968325791855204,89.68325791855204,0.9411912806247976,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.104,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,10.0,max_path_features,5.0,avg_path_features,4.105263157894737,,,
breast_cancer,1999,2,decision_tree,imported_baseline,,0.922972972972973,0.922972972972973,92.29729729729728,0.9502402559958238,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.117,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,5.0,max_path_features,5.0,avg_path_features,4.350877192982456,,,
breast_cancer,2000,3,decision_tree,imported_baseline,,0.8921475875118259,0.8921475875118259,89.21475875118259,0.9096103733672916,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",0.127,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,5.0,max_path_features,5.0,avg_path_features,4.43859649122807,,,
breast_cancer,2001,4,decision_tree,imported_baseline,,0.9105882352941176,0.9105882352941176,91.05882352941175,0.9310168237631444,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5}",0.089,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,5.0,max_path_features,5.0,avg_path_features,4.614035087719298,,,
breast_cancer,2002,5,decision_tree,imported_baseline,,0.9712773998488284,0.9712773998488284,97.12773998488284,0.9220693570043684,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",0.103,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,10.0,max_path_features,8.0,avg_path_features,5.807017543859649,,,
breast_cancer,2003,6,decision_tree,imported_baseline,,0.9238222519211494,0.9238222519211494,92.38222519211494,0.9321110737674658,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.098,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,10.0,max_path_features,6.0,avg_path_features,4.342105263157895,,,
breast_cancer,2004,7,decision_tree,imported_baseline,,0.9170641015277664,0.9170641015277664,91.70641015277666,0.9291474220441078,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",0.103,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,10.0,max_path_features,5.0,avg_path_features,3.982456140350877,,,
breast_cancer,2005,8,decision_tree,imported_baseline,,0.9074675324675324,0.9074675324675324,90.74675324675326,0.9387467618920768,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.121,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,10.0,max_path_features,9.0,avg_path_features,5.684210526315789,,,
breast_cancer,2006,9,decision_tree,imported_baseline,,0.87995787995788,0.87995787995788,87.99578799578799,0.9434289519697918,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.11,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,5.0,max_path_features,5.0,avg_path_features,3.1052631578947367,,,
breast_cancer,2007,10,decision_tree,imported_baseline,,0.8635897435897436,0.8635897435897436,86.35897435897436,0.9337085292821762,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.104,ok,,decision_tree,breast_cancer,455,114,30,2,configured_max_depth,10.0,max_path_features,6.0,avg_path_features,3.701754385964912,,,
breast_cancer,1998,1,fcalc_deterministic,imported_baseline,,0.8999648999648999,0.8999648999648999,89.99648999649,0.9318544193814592,"{""cv_f1"": 0.9318544193814592, ""family"": ""proximity"", ""method"": ""proximity""}",29.782,ok,,fcalc,breast_cancer,455,114,30,2,size,13650.0,,,,,,,
breast_cancer,1999,2,fcalc_deterministic,imported_baseline,,0.922051282051282,0.922051282051282,92.2051282051282,0.9193483032241464,"{""cv_f1"": 0.9193483032241465, ""family"": ""proximity"", ""method"": ""proximity""}",29.922,ok,,fcalc,breast_cancer,455,114,30,2,size,13650.0,,,,,,,
breast_cancer,2000,3,fcalc_deterministic,imported_baseline,,0.9422297297297296,0.9422297297297296,94.22297297297295,0.916767522803234,"{""cv_f1"": 0.9167675228032339, ""family"": ""proximity"", ""method"": ""proximity""}",29.79,ok,,fcalc,breast_cancer,455,114,30,2,size,13650.0,,,,,,,
breast_cancer,2001,4,fcalc_deterministic,imported_baseline,,0.9313666465984348,0.9313666465984348,93.13666465984348,0.9244355444297244,"{""cv_f1"": 0.9244355444297243, ""family"": ""proximity"", ""method"": ""proximity""}",29.841,ok,,fcalc,breast_cancer,455,114,30,2,size,13650.0,,,,,,,
