dataset,method,metric,k,macro_f1_mean,macro_f1_std,macro_f1_ci95,primary_f1_mean,primary_f1_std,primary_f1_ci95,elapsed_seconds_mean,runs,repeat_rows,source
breast_cancer,decision_tree,imported_baseline,,0.9085720284277338,0.0292481201717945,0.0209213911421923,0.9085720284277338,0.0292481201717945,0.0209213911421923,0.1076,10,10,imported_baseline
breast_cancer,fcalc_deterministic,imported_baseline,,0.908873620135632,0.0313184444249986,0.0224023090007772,0.908873620135632,0.0313184444249986,0.0224023090007772,29.8506,10,10,imported_baseline
breast_cancer,fcalc_randomized,imported_baseline,,0.936823193350919,0.0403588863996171,0.028869002297247,0.936823193350919,0.0403588863996171,0.028869002297247,32.0286,10,10,imported_baseline
breast_cancer,ips_knn,imported_baseline,,0.9532253375557088,0.0291111316711997,0.0208234022804776,0.9532253375557088,0.0291111316711997,0.0208234022804776,30.5774,10,10,imported_baseline
breast_cancer,knn,imported_baseline,,0.9514031024119586,0.027241007335987,0.0194856888660187,0.9514031024119586,0.027241007335987,0.0194856888660187,0.5298,10,10,imported_baseline
breast_cancer,logistic_regression,imported_baseline,,0.96606488244617,0.0284611466012174,0.0203584632756523,0.96606488244617,0.0284611466012174,0.0203584632756523,27.416999999999994,10,10,imported_baseline
breast_cancer,naive_bayes,imported_baseline,,0.9200589307632022,0.0303760622094977,0.0217282162105351,0.9200589307632022,0.0303760622094977,0.0217282162105351,0.0201999999999999,10,10,imported_baseline
breast_cancer,random_forest,imported_baseline,,0.9504529065488848,0.0285026868794826,0.020388177336065,0.9504529065488848,0.0285026868794826,0.020388177336065,7.566200000000002,10,10,imported_baseline
breast_cancer,svm,imported_baseline,,0.9588659412572352,0.0266991210514603,0.0190980737014685,0.9588659412572352,0.0266991210514603,0.0190980737014685,0.0873,10,10,imported_baseline
breast_cancer,xgboost,imported_baseline,,0.9653277162247396,0.0268884156085952,0.0192334774623819,0.9653277162247396,0.0268884156085952,0.0192334774623819,0.3017999999999999,10,10,imported_baseline
ionosphere,decision_tree,imported_baseline,,0.8645135375537562,0.0536048933219177,0.0383439665091652,0.8645135375537562,0.0536048933219177,0.0383439665091652,0.1154999999999999,10,10,imported_baseline
ionosphere,fcalc_deterministic,imported_baseline,,0.6073798445598196,0.1127513893102697,0.0806518813424656,0.6073798445598196,0.1127513893102697,0.0806518813424656,9.1624,10,10,imported_baseline
ionosphere,fcalc_randomized,imported_baseline,,0.7534949418953351,0.0811923138719817,0.0580774472437198,0.7534949418953351,0.0811923138719817,0.0580774472437198,16.7306,10,10,imported_baseline
ionosphere,ips_knn,imported_baseline,,0.8227865793452092,0.0578510487732555,0.0413812721044034,0.8227865793452092,0.0578510487732555,0.0413812721044034,21.1713,10,10,imported_baseline
ionosphere,knn,imported_baseline,,0.8747154955378036,0.0478514852256663,0.0342285122346574,0.8747154955378036,0.0478514852256663,0.0342285122346574,0.499,10,10,imported_baseline
ionosphere,logistic_regression,imported_baseline,,0.8506409037784912,0.0366908775168681,0.0262452491090666,0.8506409037784912,0.0366908775168681,0.0262452491090666,5.128,10,10,imported_baseline
ionosphere,naive_bayes,imported_baseline,,0.8805288306051173,0.030959564637372,0.0221455997023381,0.8805288306051173,0.030959564637372,0.0221455997023381,0.0182999999999999,10,10,imported_baseline
ionosphere,random_forest,imported_baseline,,0.928704749799981,0.0350376422633415,0.0250626780177988,0.928704749799981,0.0350376422633415,0.0250626780177988,6.265000000000001,10,10,imported_baseline
ionosphere,svm,imported_baseline,,0.9426978869549354,0.0346428911757236,0.0247803097199612,0.9426978869549354,0.0346428911757236,0.0247803097199612,0.0822999999999999,10,10,imported_baseline
