dataset,method,metric,k,primary_f1_mean,primary_f1_std,primary_f1_ci95,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,retained_mean,retained_std,retained_ci95,compression_ratio_mean,compression_ratio_std,compression_ratio_ci95,runs,repeat_rows,source,elapsed_seconds_mean
breast_cancer,decision_tree,imported_baseline,,0.9085720284277338,0.0292481201717945,0.0209213911421923,,,,0.9085720284277338,0.0292481201717945,0.0209213911421923,,,,,,,,,,10,10,imported_baseline,0.1076
breast_cancer,fcalc_deterministic,imported_baseline,,0.908873620135632,0.0313184444249986,0.0224023090007772,,,,0.908873620135632,0.0313184444249986,0.0224023090007772,,,,,,,,,,10,10,imported_baseline,29.8506
breast_cancer,fcalc_randomized,imported_baseline,,0.936823193350919,0.0403588863996171,0.028869002297247,,,,0.936823193350919,0.0403588863996171,0.028869002297247,,,,,,,,,,10,10,imported_baseline,32.0286
breast_cancer,global_topk,balanced_precision_proxy,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,chi_squared,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,delta_stability,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,description_volume,19.0,0.928166250456708,0.0242911160960855,0.0173756104030472,0.935964912280702,0.0206963021861829,0.0148042141064403,0.928166250456708,0.0242911160960855,0.0173756104030472,0.9343810125501262,0.0218028363467986,0.0155957259660217,19.0,0.0,0.0,0.0417582417582417,7.314236392868129e-18,5.23192600354605e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,error_rate,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
breast_cancer,global_topk,fn,388.0,0.3870967741935484,0.0,0.0,0.631578947368421,0.0,0.0,0.3870967741935484,0.0,0.0,0.4889643463497453,5.851389114294502e-17,4.18554080283684e-17,388.0,0.0,0.0,0.8527472527472527,0.0,0.0,10,10,ranked_lazyfca,
breast_cancer,global_topk,fp,5.0,0.96529077333779,0.0234978039986086,0.0168081485425358,0.968421052631579,0.0211660363401799,0.0151402183320416,0.96529077333779,0.0234978039986086,0.0168081485425358,0.9680298362647956,0.0215471554689184,0.0154128355914509,5.0,0.0,0.0,0.0109890109890108,1.8285590982170327e-18,1.307981500886513e-18,10,10,ranked_lazyfca,
