dataset,qwp_topk_mean,qwp_topk_ci95,knn_mean,knn_ci95,svm_mean,svm_ci95,random_forest_mean,random_forest_ci95,xgboost_mean,xgboost_ci95
breast_cancer,0.96529077333779,0.0168081485425358,0.9514031024119586,0.0194856888660187,0.9588659412572352,0.0190980737014685,0.9504529065488848,0.020388177336065,0.9653277162247396,0.0192334774623819
ionosphere,0.9003024918462778,0.0201732208800705,0.8747154955378036,0.0342285122346574,0.9426978869549354,0.0247803097199612,0.928704749799981,0.0250626780177988,0.9260321111024232,0.0301221048844575
parkinsons,0.940735522812486,0.0282927918844078,0.9306178607732886,0.021120661566201,0.8776145534518077,0.0482006041868549,0.8339022871698585,0.0717042323824448,0.8665042358898996,0.0445310563377509
rice,0.9250067763900988,0.0057415929370638,0.9301320303819732,0.005142568112364,0.9336409102355036,0.0078585826479661,0.929641441093488,0.0056047742388945,0.927375508300586,0.0060616615433044
sonar,0.8428376592453466,0.0436265482934553,0.8421911781613056,0.0317305519397951,0.8586979196496893,0.0344052206425025,0.7840887242813631,0.0512653761988567,0.816891608651385,0.0439398734229854
spambase,0.9179987926038116,0.0041644526416233,0.9180137585244724,0.0077801442108875,0.9295859546120364,0.0054700506059028,0.9520625468104268,0.0041575514035027,0.9537224548135088,0.0039906763677528
waveform,0.9052454515615772,0.0084275619348397,0.8516560893211247,0.0083437017023065,0.8663862610659147,0.0074347775497837,0.8503016109167648,0.0067584619660174,0.8535573965835402,0.0066383094332874
vehicle,0.7065891611660797,0.0193363098738723,0.7282452174128269,0.0230640846948327,0.8353610412680925,0.0146855295214859,0.7588274819151719,0.0168375182826091,0.7824626608423606,0.0120780441076137
page_blocks,0.8154827732944566,0.025629589093462,0.8399031059257261,0.0238399324483323,0.772978731071227,0.029818408091438,0.8686017696251668,0.0138827905339731,0.8704322042712962,0.0173829967339559
glass,0.6675152783006417,0.0832704419434796,0.6708398007101495,0.0809525174208255,0.6114160256649732,0.075491580961317,0.7743256537043616,0.0544895289037545,0.7260515031882183,0.057761209652555
image_segmentation,0.9678849617938404,0.0061206900101988,0.9493843056953112,0.0102375634020199,0.9543299281593154,0.0060524203493263,0.9709429429220864,0.0046007136791527,0.9768980193117272,0.0063684260657941
