dataset,best_k_le_10,qwp_topk_mean,qwp_topk_ci95,random_topk_mean,random_topk_ci95,fcalc_deterministic_mean,fcalc_deterministic_ci95,fcalc_randomized_mean,fcalc_randomized_ci95,ips_knn_mean,ips_knn_ci95
breast_cancer,5,0.96529077333779,0.0168081485425358,0.5012237322086677,0.0173110145481319,0.908873620135632,0.0224023090007772,0.936823193350919,0.028869002297247,0.9532253375557088,0.0208234022804776
ionosphere,1,0.9003024918462778,0.0201732208800705,0.4996593647707565,0.0149888196093113,0.6073798445598196,0.0806518813424656,0.7534949418953351,0.0580774472437198,0.8227865793452092,0.0413812721044034
parkinsons,4,0.940735522812486,0.0282927918844078,0.4955590370060804,0.0165059308987707,0.7300749317623781,0.0482346421454274,0.7124619924354392,0.0729020717567895,0.9169909483042954,0.0307305922224116
rice,9,0.9250067763900988,0.0057415929370638,0.5053640341867766,0.0065320670260557,0.928740159591972,0.0065276264869154,0.9281880080916328,0.0070929905674829,0.9300677653631,0.0050644853348583
sonar,4,0.8428376592453466,0.0436265482934553,0.516647989752614,0.0216872826582792,0.6718023750822337,0.0465694994151315,0.6778097193063435,0.0853404758893674,0.8445979380680656,0.0356629870876058
spambase,6,0.9179987926038116,0.0041644526416233,0.4991723685201437,0.0038379749432498,0.8296381991262564,0.0079203903622818,0.7525517660168911,0.0938336429446543,0.9165206410347316,0.0073395189275129
waveform,10,0.9052454515615772,0.0084275619348397,0.5007625753941355,0.0078933743314956,0.7452883935700003,0.0108162248344379,0.7965391713768595,0.0302826306217144,0.8408825164153428,0.0085952123623963
vehicle,5,0.7065891611660797,0.0193363098738723,0.2514421928878088,0.0133289656977668,0.5197980573372212,0.0200609654362052,0.4848303357687258,0.0469720537000795,0.7257597532704539,0.0224213046287284
page_blocks,1,0.8154827732944566,0.025629589093462,0.1980623867229893,0.0018821191857864,0.6114970730182407,0.0528395042942082,0.6276032596622452,0.0456030285725215,0.8336370816134048,0.0183067142139396
glass,1,0.6675152783006417,0.0832704419434796,0.159855792520465,0.0098344935178927,0.4414538306857033,0.0607817717268123,0.4215461497469284,0.0708523036816101,0.6502486615291693,0.0590697478419076
image_segmentation,1,0.9678849617938404,0.0061206900101988,0.1443985425809342,0.0035663866855143,0.8437376475067955,0.0136177422902316,0.8447823276406309,0.0112107376007632,0.9493843056953112,0.0102375634020199
