dataset,macro_f1_k_1,best_k_le_10,best_macro_f1_le_10,best_macro_f1_le_10_ci95,k_within_1pct,macro_f1_within_1pct,compression_ratio_within_1pct,k_within_3pct,macro_f1_within_3pct,compression_ratio_within_3pct,k_within_5pct,macro_f1_within_5pct,compression_ratio_within_5pct
breast_cancer,0.9445994051686524,5,0.96529077333779,0.0168081485425358,3,0.96445122784981,0.0065934065934064,1,0.9445994051686524,0.0021978021978021,1,0.9445994051686524,0.0021978021978021
ionosphere,0.9003024918462778,1,0.9003024918462778,0.0201732208800705,1,0.9003024918462778,0.0035714285714285,1,0.9003024918462778,0.0035714285714285,1,0.9003024918462778,0.0035714285714285
parkinsons,0.92093647539425,4,0.940735522812486,0.0282927918844078,3,0.9366923690779484,0.0192307692307691,1,0.92093647539425,0.0064102564102564,1,0.92093647539425,0.0064102564102564
rice,0.8865832219364652,9,0.9250067763900988,0.0057415929370638,5,0.9176097861205952,0.0016404199475065,3,0.9103054323258608,0.0009842519685039,1,0.8865832219364652,0.0003280839895013
sonar,0.8372877001603068,4,0.8428376592453466,0.0436265482934553,1,0.8372877001603068,0.0060240963855421,1,0.8372877001603068,0.0060240963855421,1,0.8372877001603068,0.0060240963855421
spambase,0.9027839256709674,6,0.9179987926038116,0.0041644526416233,3,0.9093105731225188,0.0008152173913043,1,0.9027839256709674,0.0002717391304347,1,0.9027839256709674,0.0002717391304347
waveform,0.8689480088114167,10,0.9052454515615772,0.0084275619348397,5,0.8989046604519271,0.0018917896329927,3,0.8951276439258837,0.0011350737797956,1,0.8689480088114167,0.0003783579265985
vehicle,0.6996876340265807,5,0.7065891611660797,0.0193363098738723,1,0.6996876340265807,0.0014792899408284,1,0.6996876340265807,0.0014792899408284,1,0.6996876340265807,0.0014792899408284
page_blocks,0.8154827732944566,1,0.8154827732944566,0.025629589093462,1,0.8154827732944566,0.0002284148012791,1,0.8154827732944566,0.0002284148012791,1,0.8154827732944566,0.0002284148012791
glass,0.6675152783006417,1,0.6675152783006417,0.0832704419434796,1,0.6675152783006417,0.0058479532163742,1,0.6675152783006417,0.0058479532163742,1,0.6675152783006417,0.0058479532163742
image_segmentation,0.9678849617938404,1,0.9678849617938404,0.0061206900101988,1,0.9678849617938404,0.000599520383693,1,0.9678849617938404,0.000599520383693,1,0.9678849617938404,0.000599520383693
