dataset,macro_f1_k_1,macro_f1_k_3,macro_f1_k_5,macro_f1_k_10,best_k_le_10,best_macro_f1_le_10,best_macro_f1_le_10_ci95
breast_cancer,0.9445994051686524,0.96445122784981,0.96529077333779,0.9527388989227596,5.0,0.96529077333779,0.0168081485425358
ionosphere,0.9003024918462778,0.8840026991705437,0.8648192477834366,0.8565184577795264,1.0,0.9003024918462778,0.0201732208800705
parkinsons,0.92093647539425,0.9366923690779484,0.9139895889737654,0.8636077230619833,4.0,0.940735522812486,0.0282927918844078
rice,0.8865832219364652,0.9103054323258608,0.9176097861205952,0.9247293761003132,9.0,0.9250067763900988,0.0057415929370638
sonar,0.8372877001603068,0.832908300376692,0.8191835193167911,0.7848290643688534,4.0,0.8428376592453466,0.0436265482934553
spambase,0.9027839256709674,0.9093105731225188,0.912803044963444,0.9135564037575692,6.0,0.9179987926038116,0.0041644526416233
waveform,0.8689480088114167,0.8951276439258837,0.8989046604519271,0.9052454515615772,10.0,0.9052454515615772,0.0084275619348397
vehicle,0.6996876340265807,0.7052517120637442,0.7065891611660797,0.6937090516634622,5.0,0.7065891611660797,0.0193363098738723
page_blocks,0.8154827732944566,0.8095180232735011,0.7907758707347742,0.7555237131604059,1.0,0.8154827732944566,0.025629589093462
glass,0.6675152783006417,0.6479573521017172,0.6446109840443822,0.5620691233176701,1.0,0.6675152783006417,0.0832704419434796
image_segmentation,0.9678849617938404,0.962546345619069,0.9581432511613102,0.9515626046996962,1.0,0.9678849617938404,0.0061206900101988
mean,0.8556374433094415,0.8598246980824807,0.8538836261867542,0.8330990789448923,4.2727272727272725,0.8686263311229461,0.02378103163954626
