dataset,method,metric,k,primary_f1_mean,primary_f1_std,primary_f1_ci95,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,weighted_f1_mean,weighted_f1_ci95,retained_mean,retained_ci95,compression_ratio_mean,compression_ratio_ci95,runs,repeat_rows
breast_cancer,global_topk,balanced_precision_proxy,1,0.2274668806991307,0.0326975071860033,0.023388762532257,0.2499999999999999,0.0244361521302474,0.2274668806991307,0.023388762532257,0.1934333028640684,0.0245055869138153,1.0,0.0,0.0021978021978021,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,2,0.2274668806991307,0.0326975071860033,0.023388762532257,0.2499999999999999,0.0244361521302474,0.2274668806991307,0.023388762532257,0.1934333028640684,0.0245055869138153,2.0,0.0,0.0043956043956042,6.539907504432564e-19,10,10
breast_cancer,global_topk,balanced_precision_proxy,3,0.2384038126323127,0.0151929749792292,0.0108676444943125,0.2912280701754386,0.0164156033843457,0.2384038126323127,0.0108676444943125,0.1860509743103992,0.0112709803782124,3.0,0.0,0.0065934065934064,6.539907504432564e-19,10,10
breast_cancer,global_topk,balanced_precision_proxy,4,0.2369210210736601,0.014838081397986,0.0106137865580271,0.2912280701754386,0.0164156033843457,0.2369210210736601,0.0106137865580271,0.1837655282660886,0.0108185649167396,4.0,0.0,0.0087912087912087,1.3079815008865127e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,5,0.2445940942429389,0.0164804840550169,0.0117886090149538,0.3122807017543859,0.016784539413156,0.2445940942429389,0.0117886090149538,0.1853468078260415,0.0118653002480591,5.0,0.0,0.0109890109890108,1.3079815008865127e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,6,0.2460209908532523,0.0166553104524985,0.0119136635969991,0.3131578947368421,0.0170046314730974,0.2460209908532523,0.0119136635969991,0.1870644278466989,0.0118013125544879,6.0,0.0,0.0131868131868131,1.3079815008865127e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,7,0.2481208443421977,0.0102380315772836,0.0073233377699611,0.3228070175438596,0.0128250898683926,0.2481208443421977,0.0073233377699611,0.1859992599177803,0.0081195452035492,7.0,0.0,0.0153846153846152,1.3079815008865127e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,8,0.2501133565164711,0.011595704225855,0.0082944907998646,0.3245614035087719,0.0132280701754385,0.2501133565164711,0.0082944907998646,0.1881592815638299,0.0089485124959854,8.0,0.0,0.0175824175824175,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,9,0.2474888371858812,0.0101045549430427,0.0072278609715586,0.3245614035087719,0.0147894320617091,0.2474888371858812,0.0072278609715586,0.1843103063280982,0.0052214160232798,9.0,0.0,0.0197802197802197,2.615963001773025e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,10,0.2480373043126807,0.009334423023617,0.0066769800594605,0.3254385964912279,0.0136991979329954,0.2480373043126807,0.0066769800594605,0.1847221731152208,0.0050097314402968,10.0,0.0,0.0219780219780219,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,12,0.2486164471324858,0.0100128065366261,0.0071622326752428,0.3280701754385965,0.0145508771929824,0.2486164471324858,0.0071622326752428,0.1844906114673416,0.0051255824566805,12.0,0.0,0.0263736263736263,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,14,0.2533422231370382,0.0088969893925774,0.0063640806307118,0.3394736842105262,0.0114749220052321,0.2533422231370382,0.0063640806307118,0.1866732170483439,0.0046893225699981,14.0,0.0,0.0307692307692307,2.615963001773025e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,16,0.2563031339312174,0.0068398283962958,0.0048925785446674,0.3447368421052631,0.0088982741504329,0.2563031339312174,0.0048925785446674,0.1888549407914233,0.0036050578750181,16.0,0.0,0.0351648351648351,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,19,0.2601616536531147,0.0069692668502668,0.0049851668036209,0.3517543859649122,0.0090927949315702,0.2601616536531147,0.0049851668036209,0.1916980605865055,0.003673280802668,19.0,0.0,0.0417582417582417,5.2319260035460495e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,23,0.2659120323067192,0.0045226090379381,0.0032350548380597,0.3622807017543859,0.0059526315789473,0.2659120323067192,0.0032350548380597,0.1959351816996878,0.0023837246175177,23.0,0.0,0.0505494505494505,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,26,0.2668673262221649,0.0033482107733417,0.0023949992958226,0.3640350877192982,0.0044368296185127,0.2668673262221649,0.0023949992958226,0.1966390824794899,0.0017647363232377,26.0,0.0,0.057142857142857,5.2319260035460495e-18,10,10
breast_cancer,global_topk,balanced_precision_proxy,31,0.2682878411910669,0.0019878668500644,0.0014219354838709,0.3666666666666666,0.0026456140350877,0.2682878411910669,0.0014219354838709,0.1976857777197335,0.0010477419354838,31.0,0.0,0.0681318681318681,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,36,0.2682878411910669,0.0019878668500644,0.0014219354838709,0.3666666666666666,0.0026456140350877,0.2682878411910669,0.0014219354838709,0.1976857777197335,0.0010477419354838,36.0,0.0,0.079120879120879,1.04638520070921e-17,10,10
breast_cancer,global_topk,balanced_precision_proxy,42,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,42.0,0.0,0.0923076923076923,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,50,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,50.0,0.0,0.1098901098901098,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,58,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,58.0,0.0,0.1274725274725274,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,68,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,68.0,0.0,0.1494505494505494,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,80,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,80.0,0.0,0.1758241758241758,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,94,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,94.0,0.0,0.2065934065934064,2.09277040141842e-17,10,10
breast_cancer,global_topk,balanced_precision_proxy,110,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,110.0,0.0,0.2417582417582417,0.0,10,10
breast_cancer,global_topk,balanced_precision_proxy,128,0.2692307692307692,0.0,0.0,0.3684210526315788,4.18554080283684e-17,0.2692307692307692,0.0,0.1983805668016194,0.0,128.0,0.0,0.2813186813186813,0.0,10,10
